Ligand SMILES	Target Name	IC50 (nM)	PDB ID(s) of Target Chain
OC(=O)c1cc(F)c(cc1O)N(Cc1ccc(cc1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	659	"3CWG,6NJS,6NUQ,6TLC"
NC(=O)c1ccc(cc1O)N(Cc1ccc(cn1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	660	"3CWG,6NJS,6NUQ,6TLC"
Fc1c(F)c(F)c(c(F)c1F)S(=O)(=O)N1CC[C@@H]1C(=O)N(Cc1ccc(cn1)C1CCCCC1)c1ccc2c(cn[nH]c2=O)c1	Signal transducer and activator of transcription 3	663	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1ccc(cn1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	664	"3CWG,6NJS,6NUQ,6TLC"
[O-][N+](=O)c1ccc2C=CS(=O)(=O)c2c1	Signal transducer and activator of transcription 3	670	"3CWG,6NJS,6NUQ,6TLC"
[O-][N+](=O)c1cnc(NC(=O)c2ccc(cc2)C(F)(F)F)s1	Signal transducer and activator of transcription 3	700	"3CWG,6NJS,6NUQ,6TLC"
CN1CC(COC(=O)C2CCCCC2)=C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13	Signal transducer and activator of transcription 3	700	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1ccc(nn1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	702	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1ccc(cc1)C1CCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	711	"3CWG,6NJS,6NUQ,6TLC"
COc1cc(NC(=O)c2ccc(Cl)c(c2)S(N)(=O)=O)cc(OC)c1OC	Signal transducer and activator of transcription 3	720	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(OP(O)(O)=O)cc1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C(C)O)C(N)=O	Signal transducer and activator of transcription 3	739	"3CWG,6NJS,6NUQ,6TLC"
COC(=O)c1ccc(N(Cc2ccc(cn2)C2CCCCC2)C(=O)[C@H]2CCN2S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)c(F)c1	Signal transducer and activator of transcription 3	755	"3CWG,6NJS,6NUQ,6TLC"
CNC(=O)c1ccc(cc1O)N(Cc1ccc(cn1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	770	"3CWG,6NJS,6NUQ,6TLC"
Cc1cc(Nc2ncc(C)c(n2)N2CC3CCCC(C2)N3CC#N)sn1	Signal transducer and activator of transcription 3	771	"6TLC,6NUQ,6NJS,3CWG"
CNC(=O)c1ccc(cc1O)N(Cc1ccc(cn1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	773	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1cnc(cn1)C1CCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	775	"3CWG,6NJS,6NUQ,6TLC"
Fc1c(F)c(F)c(c(F)c1F)S(=O)(=O)N1CC[C@@H]1C(=O)N(Cc1ccc(cn1)C1CCCCC1)c1ccc2c(cc[nH]c2=O)c1	Signal transducer and activator of transcription 3	790	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)C=Cc1ccc(OP(O)(O)=O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)COC(N)=O	Signal transducer and activator of transcription 3	797	"3CWG,6NJS,6NUQ,6TLC"
