Ligand SMILES	Target Name	IC50 (nM)	PDB ID(s) of Target Chain
COc1ccc(cc1)S(=O)(=O)Nc1cc(c(O)c2ccccc12)-c1c(O)ccc2ccccc12	Signal transducer and activator of transcription 3	4100	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(\C=C\C=C\C(=O)\C=C\c2ccc(O)cc2)cc1	Signal transducer and activator of transcription 3	4100	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1C)nnc2-c1cc(n[nH]1)-c1ccc(F)cc1	Signal transducer and activator of transcription 3	4200	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1C)nnc2-c1cc(n[nH]1)-c1ccc(F)cc1	Signal transducer and activator of transcription 3	4200	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1C)nnc2-c1cc(n[nH]1)-c1ccc(C)cc1	Signal transducer and activator of transcription 3	4200	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1C)nnc2-c1cc(n[nH]1)-c1ccc(F)cc1	Signal transducer and activator of transcription 3	4200	"3CWG,6NJS,6NUQ,6TLC"
O=C(NCCCC#Cc1cccc2C(=O)N(C3CCC(=O)NC3=O)C(=O)c12)c1cc2c(o1)C(=O)c1ccccc1C2=O	Signal transducer and activator of transcription 3	4200	"3CWG,6NJS,6NUQ,6TLC"
C[C@@H](N(C)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)N(Cc1ccc(cc1)C1CCCCC1)c1c(C)cc(cc1C)C(=O)OCc1ccccc1	Signal transducer and activator of transcription 3	4200	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C1Sc2nnc(-c3[nH]nc4CCCc34)n2N=C1c1ccc(Cl)c(Cl)c1	Signal transducer and activator of transcription 3	4400	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C1Sc2nnc(-c3[nH]nc4CCCc34)n2N=C1c1ccc(Cl)c(Cl)c1	Signal transducer and activator of transcription 3	4400	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C1Sc2nnc(-c3[nH]nc4CCCc34)n2N=C1c1ccc(Cl)c(Cl)c1	Signal transducer and activator of transcription 3	4400	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C1Sc2nnc(-c3[nH]nc4CCCc34)n2N=C1c1ccc(Cl)c(Cl)c1	Signal transducer and activator of transcription 3	4400	"3CWG,6NJS,6NUQ,6TLC"
CN(C)CCCn1c(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)c1=O)c46)c(=O)n(CCCN(C)C)c5=O	Signal transducer and activator of transcription 3	4500	"3CWG,6NJS,6NUQ,6TLC"
CN(C)CCCn1c(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)c1=O)c46)c(=O)n(CCCN(C)C)c5=O	Signal transducer and activator of transcription 3	4500	"3CWG,6NJS,6NUQ,6TLC"
CN(C)CCCn1c(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)c1=O)c46)c(=O)n(CCCN(C)C)c5=O	Signal transducer and activator of transcription 3	4500	"3CWG,6NJS,6NUQ,6TLC"
CN(C)CCCn1c(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)c1=O)c46)c(=O)n(CCCN(C)C)c5=O	Signal transducer and activator of transcription 3	4500	"3CWG,6NJS,6NUQ,6TLC"
CN(C)CCCn1c(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)c1=O)c46)c(=O)n(CCCN(C)C)c5=O	Signal transducer and activator of transcription 3	4500	"3CWG,6NJS,6NUQ,6TLC"
CN(C)CCCn1c(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)c1=O)c46)c(=O)n(CCCN(C)C)c5=O	Signal transducer and activator of transcription 3	4500	"3CWG,6NJS,6NUQ,6TLC"
CN(C)CCCn1c(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)c1=O)c46)c(=O)n(CCCN(C)C)c5=O	Signal transducer and activator of transcription 3	4500	"3CWG,6NJS,6NUQ,6TLC"
CN(C)CCCn1c(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)c1=O)c46)c(=O)n(CCCN(C)C)c5=O	Signal transducer and activator of transcription 3	4500	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1ccc(cc1)C1CCOC1)C(=O)[C@H]1CCCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	4500	"3CWG,6NJS,6NUQ,6TLC"
CCN1\C(Sc2ccccc12)=C1\SC(=S)N(CC=C)C1=O	Signal transducer and activator of transcription 3	4600	"3CWG,6NJS,6NUQ,6TLC"
Cc1cccc(C(=O)Nc2ncc(s2)[N+]([O-])=O)c1O	Signal transducer and activator of transcription 3	4600	"3CWG,6NJS,6NUQ,6TLC"
O=C(NCCCCCNc1cccc2C(=O)N(C3CCC(=O)NC3=O)C(=O)c12)c1cc2c(o1)C(=O)c1ccccc1C2=O	Signal transducer and activator of transcription 3	4600	"3CWG,6NJS,6NUQ,6TLC"
C[C@@H](N(C)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(F)c1	Signal transducer and activator of transcription 3	4600	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(OP(O)(O)=O)cc1)NC(C)=O)C(=O)N1[C@@H](Cc2ccccc12)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(N)=O	Signal transducer and activator of transcription 3	4640	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1C)nnc2-c1cc(nn1C)-c1ccccc1	Signal transducer and activator of transcription 3	4700	"3CWG,6NJS,6NUQ,6TLC"
C\C(=N\O)c1ccc(NC(=O)CSc2nnc(-c3cc(nc4ccccc34)-c3ccccc3)n2CC=C)cc1	Signal transducer and activator of transcription 3	4700	"3CWG,6NJS,6NUQ,6TLC"
CN(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(cc1)C(=O)NO)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	4700	"3CWG,6NJS,6NUQ,6TLC"
CN(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(cc1)C(=O)NO)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	4700	"3CWG,6NJS,6NUQ,6TLC"
CC1Sc2nnc(-c3cc(-c4ccccc4)n(C)n3)n2N=C1c1ccc(Cl)c(Cl)c1	Signal transducer and activator of transcription 3	4800	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)\C=C\c1ccc(OP(O)(O)=O)cc1	Signal transducer and activator of transcription 3	4900	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)\C=C\c1ccc(OP(O)(O)=O)cc1)C(=O)N1CCC[C@H]1C(=O)NCC(=O)NCc1ccccc1	Signal transducer and activator of transcription 3	4940	"3CWG,6NJS,6NUQ,6TLC"
Cc1cc(C)c2nc(Nc3nc(C)cc(O)n3)nc(C)c2c1	Signal transducer and activator of transcription 3	5000	"3CWG,6NJS,6NUQ,6TLC"
Cc1ccc(cc1)S(=O)(=O)N(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)Cc1ccc2ccccc2c1	Signal transducer and activator of transcription 3	5000	"3CWG,6NJS,6NUQ,6TLC"
Cc1ccc(cc1)S(=O)(=O)N(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)Cc1cccc(c1)[N+]([O-])=O	Signal transducer and activator of transcription 3	5000	"3CWG,6NJS,6NUQ,6TLC"
C[C@H](N(C)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1	Signal transducer and activator of transcription 3	5000	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1coc(n1)N(Cc1ccc(cc1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	4000	"3CWG,6NJS,6NUQ,6TLC"
C[C@@H](N(C)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)N(Cc1ccc(cc1)C1CCOCC1)c1ccc(C(O)=O)c(O)c1	Signal transducer and activator of transcription 3	5000	"3CWG,6NJS,6NUQ,6TLC"
Cc1cccc(CNc2nc(NC(=O)c3ccccc3)nc3[nH]cnc23)c1	Signal transducer and activator of transcription 3	5070	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1CC(C)C)nnc2-c1cc(n[nH]1)-c1ccccc1	Signal transducer and activator of transcription 3	5100	"3CWG,6NJS,6NUQ,6TLC"
[O-][N+](=O)c1ccc2C=CS(=O)(=O)c2c1	Signal transducer and activator of transcription 3	5100	"3CWG,6NJS,6NUQ,6TLC"
[O-][N+](=O)c1ccc2C=CS(=O)(=O)c2c1	Signal transducer and activator of transcription 3	5100	"3CWG,6NJS,6NUQ,6TLC"
CCC(C)C1Sc2nnc(-c3cc(n[nH]3)-c3ccccc3)n2N=C1c1ccc(OC)cc1	Signal transducer and activator of transcription 3	5100	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1CC(C)C)nnc2-c1[nH]nc2CCCc12	Signal transducer and activator of transcription 3	5100	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1CC(C)C)nnc2-c1cc(n[nH]1)-c1ccccc1	Signal transducer and activator of transcription 3	5100	"3CWG,6NJS,6NUQ,6TLC"
[O-][N+](=O)c1ccc2C=CS(=O)(=O)c2c1	Signal transducer and activator of transcription 3	5100	"3CWG,6NJS,6NUQ,6TLC"
[O-][N+](=O)c1ccc2C=CS(=O)(=O)c2c1	Signal transducer and activator of transcription 3	5100	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1CC(C)C)nnc2-c1[nH]nc2CCCc12	Signal transducer and activator of transcription 3	5140	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1CC(C)C)nnc2-c1[nH]nc2CCCc12	Signal transducer and activator of transcription 3	5140	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(NC2=CC(=O)c3cc(oc3C2=O)C(C)=O)cc1	Signal transducer and activator of transcription 3	5180	"3CWG,6NJS,6NUQ,6TLC"
Cc1ccc(cc1)S(=O)(=O)N(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)Cc1cccc(C)c1	Signal transducer and activator of transcription 3	5200	"3CWG,6NJS,6NUQ,6TLC"
C[C@@H](N(C)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(cc1)C(=O)NO	Signal transducer and activator of transcription 3	5300	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(N(Cc2ccc(cc2)C2CCCCC2)C(=O)[C@H]2CCCN2S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)c(F)c1	Signal transducer and activator of transcription 3	5300	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1ccc(cc1)C1CCOCC1)C(=O)[C@H]1CCCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	5400	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1ccc(cc1)C1CCCCC1)C(=O)[C@H]1CCCCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	5400	"3CWG,6NJS,6NUQ,6TLC"
ONC(=O)c1ccc(cc1O)N(Cc1ccc(cc1)C1CCCCC1)C(=O)[C@H]1CCCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	5400	"3CWG,6NJS,6NUQ,6TLC"
CC(=O)c1cc2c(o1)C(=O)C(Nc1ccccc1C)=CC2=O	Signal transducer and activator of transcription 3	5550	"3CWG,6NJS,6NUQ,6TLC"
Clc1cccc(c1)C1=Nn2c(SC1)nnc2-c1cc(n[nH]1)-c1ccccc1	Signal transducer and activator of transcription 3	5600	"3CWG,6NJS,6NUQ,6TLC"
Clc1cccc(c1)C1=Nn2c(SC1)nnc2-c1cc(n[nH]1)-c1ccccc1	Signal transducer and activator of transcription 3	5600	"3CWG,6NJS,6NUQ,6TLC"
CC1Sc2nnc(-c3cc(n[nH]3)-c3ccc(Cl)cc3)n2N=C1c1ccccc1	Signal transducer and activator of transcription 3	5700	"3CWG,6NJS,6NUQ,6TLC"
CCN(CC)c1ccc(cc1)C1=Nn2c(SC1C)nnc2-c1cc(nn1C)-c1ccccc1	Signal transducer and activator of transcription 3	5700	"3CWG,6NJS,6NUQ,6TLC"
O=C(NCCCCOc1cccc2C(=O)N(C3CCC(=O)NC3=O)C(=O)c12)c1cc2c(o1)C(=O)c1ccccc1C2=O	Signal transducer and activator of transcription 3	5700	"3CWG,6NJS,6NUQ,6TLC"
C[C@@H](N(C)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(cc1C)C(O)=O	Signal transducer and activator of transcription 3	5700	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1C)nnc2-c1cc(n[nH]1)-c1ccc(Cl)cc1	Signal transducer and activator of transcription 3	5720	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(S[C@@H]1C)nnc2-c1cc(n[nH]1)-c1ccc(Cl)cc1	Signal transducer and activator of transcription 3	5720	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(S[C@@H]1C)nnc2-c1cc(n[nH]1)-c1ccc(Cl)cc1	Signal transducer and activator of transcription 3	5720	"3CWG,6NJS,6NUQ,6TLC"
CCc1ccc(Nc2nc3cc(NC(=O)c4ccccc4)ccc3o2)cc1	Signal transducer and activator of transcription 3	5800	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1Cc1ccccc1)nnc2-c1cc(n[nH]1)-c1ccccc1	Signal transducer and activator of transcription 3	5800	"3CWG,6NJS,6NUQ,6TLC"
CC1Sc2nnc(-c3cc(-c4ccccc4)n(Cc4ccccc4)n3)n2N=C1c1ccc(Cl)c(Cl)c1	Signal transducer and activator of transcription 3	5900	"3CWG,6NJS,6NUQ,6TLC"
CCCCCC(=C)[C@@H](O)[C@H](C)C(=O)N1[C@H](COC1=O)C(C)C	Signal transducer and activator of transcription 3	5900	"6TLC,6NUQ,6NJS,3CWG"
CNC(=O)c1nnc(NC(=O)N2CCC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC	Signal transducer and activator of transcription 3	5900	"6TLC,6NUQ,6NJS,3CWG"
COc1cc(\C=C\C(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O	Signal transducer and activator of transcription 3	6000	"3CWG,6NJS,6NUQ,6TLC"
Cc1ccc(cc1)S(=O)(=O)N(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)Cc1cccc(Cl)c1	Signal transducer and activator of transcription 3	6000	"3CWG,6NJS,6NUQ,6TLC"
Cc1ccc(cc1)S(=O)(=O)N(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)Cc1ccc(Cl)cc1	Signal transducer and activator of transcription 3	6200	"3CWG,6NJS,6NUQ,6TLC"
C[C@H]1O[C@@H](O[C@@](C)(CCC=C(C)C)[C@H]2CCC(C)=CC2)[C@H](O)[C@@H](O)[C@H]1O	Signal transducer and activator of transcription 3	6300	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1C)nnc2-c1cc(nn1C(C)=O)-c1ccccc1	Signal transducer and activator of transcription 3	6300	"3CWG,6NJS,6NUQ,6TLC"
C\C(=N\O)c1ccc(NC(=O)CSc2nnc(-c3cc(nc4ccccc34)-c3ccccc3)n2CC=C)cc1	Signal transducer and activator of transcription 3	6300	"3CWG,6NJS,6NUQ,6TLC"
Cc1cc(C)c2nc(Nc3nc(C)c(C)c(O)n3)nc(C)c2c1	Signal transducer and activator of transcription 3	6400	"3CWG,6NJS,6NUQ,6TLC"
C[C@@H](N(C)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C([O-])=O)c(O)c1	Signal transducer and activator of transcription 3	6400	"3CWG,6NJS,6NUQ,6TLC"
C[C@H](NC(=O)C(=C\c1cccc(Br)n1)\C#N)c1ccccc1	Signal transducer and activator of transcription 3	6440	"6TLC,6NUQ,6NJS,3CWG"
Cn1cc(Nc2nccc(n2)-c2cnn(CCC#N)c2)cn1	Signal transducer and activator of transcription 3	6448	"6TLC,6NUQ,6NJS,3CWG"
COc1ccc(cc1)C1=Nn2c(SC1C)nnc2-c1cc(-c2ccccc2)n(C)n1	Signal transducer and activator of transcription 3	6500	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1ccc(cc1)C1CCCCC1)C(=O)[C@@H]1CCN(C1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	6500	"3CWG,6NJS,6NUQ,6TLC"
CCN(CC)c1ccc(cc1)C1=Nn2c(SC1C)nnc2-c1[nH]nc2CCCc12	Signal transducer and activator of transcription 3	6600	"3CWG,6NJS,6NUQ,6TLC"
C[C@@H](N(C)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(C)c1	Signal transducer and activator of transcription 3	6600	"3CWG,6NJS,6NUQ,6TLC"
Clc1ccc(cc1Cl)C1=Nn2c(SC1)nnc2-c1[nH]nc2CCCc12	Signal transducer and activator of transcription 3	6800	"3CWG,6NJS,6NUQ,6TLC"
CN(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	6800	"3CWG,6NJS,6NUQ,6TLC"
CN(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	6800	"3CWG,6NJS,6NUQ,6TLC"
Clc1ccc(cc1Cl)C1=Nn2c(SC1)nnc2-c1[nH]nc2CCCc12	Signal transducer and activator of transcription 3	6800	"3CWG,6NJS,6NUQ,6TLC"
Clc1ccc(cc1Cl)C1=Nn2c(SC1)nnc2-c1cc(n[nH]1)-c1ccccc1	Signal transducer and activator of transcription 3	6800	"3CWG,6NJS,6NUQ,6TLC"
Clc1ccc(cc1Cl)C1=Nn2c(SC1)nnc2-c1[nH]nc2CCCc12	Signal transducer and activator of transcription 3	6800	"3CWG,6NJS,6NUQ,6TLC"
Clc1ccc(cc1Cl)C1=Nn2c(SC1)nnc2-c1[nH]nc2CCCc12	Signal transducer and activator of transcription 3	6800	"3CWG,6NJS,6NUQ,6TLC"
C[C@H](N(C)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(cc1)C(=O)NO	Signal transducer and activator of transcription 3	6800	"3CWG,6NJS,6NUQ,6TLC"
CN(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	6800	"3CWG,6NJS,6NUQ,6TLC"
CN(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	6800	"3CWG,6NJS,6NUQ,6TLC"
CN(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	6800	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)S(=O)(=O)N(C=C)c1cccc2ccccc12	Signal transducer and activator of transcription 3	6840	"6TLC,6NUQ,6NJS,3CWG"
CC(C)C[C@H](NC(=O)C=Cc1ccc(OP(O)(O)=O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](COC(N)=O)[C@@H](C)OCc1ccccc1	Signal transducer and activator of transcription 3	6900	"3CWG,6NJS,6NUQ,6TLC"
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)O[C@@H](O)C[C@H]12	Signal transducer and activator of transcription 3	6900	"3CWG,6NJS,6NUQ,6TLC"
CC[C@@H](N(C)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1	Signal transducer and activator of transcription 3	6900	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1ccc(cc1)C1CCCCC1)C(=O)[C@H]1CCN(C1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	6900	"3CWG,6NJS,6NUQ,6TLC"
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)O[C@H](O)C[C@H]12	Signal transducer and activator of transcription 3	7000	"3CWG,6NJS,6NUQ,6TLC"
COc1cc(\C=C\C(=O)N2CCC=CC2=O)cc(OC)c1OC	Signal transducer and activator of transcription 3	7000	"3CWG,6NJS,6NUQ,6TLC"
COc1cccc(c1)C1=Nn2c(SC1C)nnc2-c1cc(n[nH]1)-c1ccc(Cl)cc1	Signal transducer and activator of transcription 3	7000	"3CWG,6NJS,6NUQ,6TLC"
Oc1cc(ccc1C([O-])=O)N(Cc1ccc(cc1)C1CCOCC1)C(=O)[C@H]1CCCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	7000	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1ccc(cc1)C1CCCCC1)C(=O)[C@@H]1CCCCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	7000	"3CWG,6NJS,6NUQ,6TLC"
CS(=O)(=O)CC[C@H](NC(=O)[C@@H]1Cc2cccc3CC[C@H](NC(=O)\C=C\c4ccc(OP(O)(O)=O)cc4)C(=O)N1c23)C(N)=O	Signal transducer and activator of transcription 3	7030	"3CWG,6NJS,6NUQ,6TLC"
COc1cccc(c1)C1=Nn2c(SC1C)nnc2-c1cc(n[nH]1)-c1ccccc1	Signal transducer and activator of transcription 3	7100	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(cc1)C(F)(F)P(O)(O)=O)NC(=O)CNC(=O)CCNC(=O)CCNC(=O)CC[C@@H]1NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C(C)C)C(N)=O	Signal transducer and activator of transcription 3	7100	"3CWG,6NJS,6NUQ,6TLC"
Cc1ccc(cc1)S(=O)(=O)N(CC(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)Cc1ccccc1OC(F)(F)F	Signal transducer and activator of transcription 3	7200	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1ccc(cc1)C1CCCCC1)C(=O)[C@@H]1CCCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	7200	"3CWG,6NJS,6NUQ,6TLC"
CC1Sc2nnc(-c3[nH]nc4CCCc34)n2N=C1c1ccc(Cl)cc1	Signal transducer and activator of transcription 3	7210	"3CWG,6NJS,6NUQ,6TLC"
CC1Sc2nnc(-c3[nH]nc4CCCc34)n2N=C1c1ccc(Cl)cc1	Signal transducer and activator of transcription 3	7210	"3CWG,6NJS,6NUQ,6TLC"
CC1Sc2nnc(-c3[nH]nc4CCCc34)n2N=C1c1ccc(Cl)cc1	Signal transducer and activator of transcription 3	7210	"3CWG,6NJS,6NUQ,6TLC"
COc1ccc(cc1)C1=Nn2c(SC1C)nnc2-c1n[nH]c(c1C)-c1ccc(Cl)cc1	Signal transducer and activator of transcription 3	7300	"3CWG,6NJS,6NUQ,6TLC"
CN([C@H](CO)C(=O)N(Cc1ccc(cc1)C1CCCCC1)c1ccc(C(O)=O)c(O)c1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	7400	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(N(Cc2ccc(cc2)C2CCOCC2)C(=O)[C@H]2CCCN2S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)c(F)c1	Signal transducer and activator of transcription 3	7400	"3CWG,6NJS,6NUQ,6TLC"
Fc1ccc(cc1)-c1cc([nH]n1)-c1nnc2SCC(=Nn12)c1ccc(Cl)c(Cl)c1	Signal transducer and activator of transcription 3	7500	"3CWG,6NJS,6NUQ,6TLC"
Clc1ccc(cc1Cl)C1=Nn2c(SC1Cc1ccccc1)nnc2-c1[nH]nc2CCCc12	Signal transducer and activator of transcription 3	7500	"3CWG,6NJS,6NUQ,6TLC"
CCCCC1Sc2nnc(-c3[nH]nc4CCCc34)n2N=C1c1ccc(Cl)c(Cl)c1	Signal transducer and activator of transcription 3	7500	"3CWG,6NJS,6NUQ,6TLC"
Clc1ccc(cc1Cl)C1=Nn2c(SC1Cc1ccccc1)nnc2-c1[nH]nc2CCCc12	Signal transducer and activator of transcription 3	7500	"3CWG,6NJS,6NUQ,6TLC"
Clc1ccc(cc1Cl)C1=Nn2c(SC1c1ccccc1)nnc2-c1[nH]nc2CCCc12	Signal transducer and activator of transcription 3	7500	"3CWG,6NJS,6NUQ,6TLC"
CC(C)n1cc2C[C@H]3N(C)C[C@H](COC(=O)C4CC4)C=C3c3cccc1c23	Signal transducer and activator of transcription 3	7500	"3CWG,6NJS,6NUQ,6TLC"
CS(=O)CC[C@H](NC(=O)[C@@H]1Cc2cccc3CC[C@H](NC(=O)\C=C\c4ccc(OP(O)(O)=O)cc4)C(=O)N1c23)C(N)=O	Signal transducer and activator of transcription 3	7600	"3CWG,6NJS,6NUQ,6TLC"
CCOC(=O)c1ccc(CN(CC(=O)N(Cc2ccc(cc2)C2CCCCC2)c2ccc(C(O)=O)c(O)c2)S(=O)(=O)c2ccc(C)cc2)cc1	Signal transducer and activator of transcription 3	7600	"3CWG,6NJS,6NUQ,6TLC"
