Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain
COc1cccc2c1ncc1c2n(C2CCN(CC2)C(=O)OC(C)(C)C)c(=O)n(-c2ccc3OCOc3c2)c1=O	Tumor necrosis factor	1	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
O=C1N(Cc2c1cccc2OCc1ccc(CN2CCOCC2)cc1)C1CCC(=O)NC1=O	Tumor necrosis factor	1.8	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCCC2)c(=O)n(-c2ccc3OCOc3c2)c1=O	Tumor necrosis factor	2	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCC(F)(F)CC2)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	2	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCN(CC2)C(C)=O)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	2	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n([C@H]2CCN(C2)C(=O)OC(C)(C)C)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	2	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(CC2CCN(CC2)S(C)(=O)=O)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	2	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCN(CC2)S(C)(=O)=O)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	2.4	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCC(C)CC2)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	4	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCCCC2)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	4	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
CN(C)C(C(=O)Nc1ccc2cnccc2c1)c1ccc(COC(=O)CCC(=O)OCC(=O)[C@@]23OC(C)(C)O[C@@H]2C[C@H]2[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]32C)cc1	Tumor necrosis factor	4.5	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
CN(C)C(C(=O)Nc1ccc2cnccc2c1)c1ccc(COC(=O)CCC(=O)OCC(=O)[C@@]23OC(C)(C)O[C@@H]2C[C@H]2[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]32C)cc1	Tumor necrosis factor	4.5	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
