Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain 1
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-c1ccnc2[nH]ccc12	ATR Interacting Protein	1	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@@](C)(=O)C2CC2)nc(n1)-c1ccnc2[nH]ccc12	ATR Interacting Protein	1	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2COC2)nc(n1)-n1cnc2ccccc12	ATR Interacting Protein	1.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2COC2)nc(n1)-n1cnc2ccccc12	ATR Interacting Protein	1.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@@](C)(=O)C2COC2)nc(n1)-n1cnc2ccccc12	ATR Interacting Protein	1.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(=O)C2CC2)nc(n1)-c1cncc2[nH]ccc12	ATR Interacting Protein	1.6	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(=O)C2CC2)nc(n1)-c1cncc2[nH]ccc12	ATR Interacting Protein	1.6	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(=O)C2CC2)nc(n1)-c1cncc2[nH]ccc12	ATR Interacting Protein	1.6	US Patent	5YZ0
CCS(=O)(CC)=Nc1cc(nc(n1)-c1ccnc2[nH]ccc12)N1CCOC[C@H]1C	ATR Interacting Protein	2	US Patent	5YZ0
COC(=O)N1CCS(=O)(CC1)=Nc1cc(nc(n1)-c1ccnc2[nH]ccc12)N1CCOC[C@H]1C	ATR Interacting Protein	2	US Patent	5YZ0
CCOC(=O)N1CCS(=O)(CC1)=Nc1cc(nc(n1)-c1ccnc2[nH]ccc12)N1CCOC[C@H]1C	ATR Interacting Protein	2	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-n1cnc2ccccc12	ATR Interacting Protein	2	US Patent	5YZ0
